"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"antisense;bidirectional_promoter_lncRNA"	"antisense;lincRNA"	"antisense;processed_transcript"	"antisense;sense_intronic"	"antisense;sense_overlapping"	"bidirectional_promoter_lncRNA"	"bidirectional_promoter_lncRNA;lincRNA"	"bidirectional_promoter_lncRNA;processed_transcript"	"IG_C_gene"	"IG_C_pseudogene"	"IG_D_gene"	"IG_J_gene"	"IG_J_gene;antisense"	"IG_J_gene;lincRNA"	"IG_LV_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"lincRNA;processed_transcript"	"lincRNA;processed_transcript;sense_intronic"	"lincRNA;sense_intronic"	"lincRNA;sense_overlapping"	"macro_lncRNA"	"mapped_reads"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"processed_transcript;sense_intronic"	"processed_transcript;sense_overlapping"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"scRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"total assigned reads"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_gene;antisense"	"TR_V_gene;lincRNA"	"TR_V_pseudogene"	"TR_V_pseudogene;antisense"	"TR_V_pseudogene;sense_overlapping"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unprocessed_pseudogene"	"valid_reads"
"BA1_CA1_olf_3_1"	0	2996	3	61	24	0	1	390	13	0	121	0	0	0	0	0	0	0	2	0	51454	125	0	3	4	0	24950540	20321510	72953	121315	29576	495197	23	675	31046	0	2	861866	543	3628	250673	59188	0	0	34	2287729	40623	6	598	24722895	2	0	0	1	0	0	0	0	0	156	87	275	0	88208	227645	1120	664	27870889
"BA1_CA1_olf_4_1"	0	3825	2	93	34	0	0	439	14	0	84	0	0	0	0	0	0	0	3	0	81945	154	1	5	1	0	25844293	20010840	90426	117146	35604	538982	47	1284	40589	0	4	1006960	688	5349	280094	67484	0	1	38	3090775	55922	2	1010	25522359	0	0	0	0	0	0	1	0	0	232	123	326	0	89779	321934	1207	846	30234599
"BA1_CA1_olf_5_1"	0	4213	3	117	36	0	2	488	25	0	198	0	0	0	0	0	0	0	3	1	75248	182	1	4	0	0	31668322	25178569	123125	197604	50211	646540	62	1191	50896	0	3	987821	691	8656	354128	70526	0	1	54	3404458	79988	7	861	31381774	2	0	0	4	0	0	0	0	0	243	155	400	0	142707	286548	1356	994	36724906
"BA1_CA1_olf_6_1"	0	4681	0	107	33	0	2	501	33	0	107	0	0	0	0	0	0	0	6	0	71711	170	4	1	2	0	28115593	21415544	98237	130303	32289	735216	54	1065	46239	0	1	1323705	912	7361	393141	84455	0	0	60	3259962	62226	6	892	27811584	0	0	0	0	0	0	1	0	0	222	198	423	1	139626	304009	1197	890	33005830
"BA1_CA1_olf_7_1"	1	4007	2	92	50	1	0	419	6	0	87	0	0	0	0	0	0	0	4	1	65181	162	1	3	0	0	26521906	19537678	125531	228880	47433	702861	58	999	56220	0	0	1077087	782	8018	428844	67666	0	1	29	3653296	86018	17	941	26227028	1	0	0	1	0	0	4	0	0	226	92	361	2	131589	294878	1362	1014	30810719
"BA1_CA1_olf_8_1"	0	3124	1	62	21	0	1	378	9	0	112	0	0	0	0	0	0	0	0	0	49122	138	0	5	0	0	23119301	18732401	76105	117240	37306	531717	43	856	31943	0	0	718022	474	4224	213590	44280	0	0	31	2132766	56305	1	811	22847255	1	0	0	2	0	0	0	0	0	169	103	221	1	93894	272046	1006	770	27113663
"BA10_CA1_cp_26_1"	0	53	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	394	7	0	0	0	0	197944	142576	1221	2962	289	6157	1	0	135	0	0	14950	0	78	4661	449	0	0	0	18942	654	0	10	194487	0	0	0	0	0	0	0	0	0	4	0	4	0	870	3457	55	14	250657
"BA10_CA1_cp_27_1"	0	4742	0	170	25	0	7	449	13	3	16	0	0	0	0	0	0	0	4	1	67830	176	1	7	5	0	19276750	11293046	127505	271384	65864	800064	80	2188	42018	0	3	2064738	1174	8500	567943	88632	0	1	43	3139760	85234	0	1690	18756778	1	1	0	7	0	0	0	0	0	210	112	410	1	118434	519972	2379	1907	26094237
"BA10_CA1_cp_28_1"	0	4854	0	135	23	0	2	360	6	0	41	0	0	0	0	0	0	0	0	1	88738	166	1	4	2	0	21909866	11942946	132078	353886	80679	791365	31	1374	74426	0	0	2519250	1039	9790	702400	143642	0	0	25	4358118	111700	3	1367	21427815	1	0	0	10	1	0	0	0	0	147	87	316	2	102606	482051	3860	2333	28953975
"BA10_CA1_cp_29_1"	0	4413	2	186	21	2	0	367	16	1	24	0	0	0	0	0	0	0	2	2	76375	158	14	8	5	0	19764439	11143755	131248	324594	110685	865392	65	1533	50746	0	0	2111871	1122	9994	658429	94659	0	0	49	3542792	131128	1	1050	19390830	0	0	0	1	0	0	1	0	0	196	115	363	0	124198	373609	3328	1919	27331202
"BA10_CA1_cp_30_1"	0	4828	0	144	20	0	2	331	6	0	32	0	0	0	0	0	0	0	2	1	98739	173	7	1	5	0	23010926	12331382	173743	416314	113996	983858	52	2251	68236	0	0	2715029	1127	12008	967180	126448	0	0	50	3907057	161912	0	2338	22206447	4	0	0	8	0	0	1	0	0	216	151	332	4	111205	804479	5213	2041	31671702
"BA10_CA1_cp_31_1"	0	4229	2	124	18	0	4	304	13	2	20	0	0	0	0	0	0	0	2	2	62402	122	3	2	4	0	17535388	10084849	131669	296725	64964	699003	34	1706	43156	0	1	2067057	639	10495	554516	94653	0	1	34	2841321	89000	1	1148	17160807	0	0	0	6	0	0	0	0	0	153	98	261	1	107662	374581	2772	1629	24194716
"BA10_CA1_cp_32_1"	0	5191	0	92	17	0	1	267	3	0	10	0	0	0	0	0	0	0	1	3	120979	246	5	1	2	0	20780637	6272798	275456	198675	68752	643969	29	1032	211174	0	0	2638088	1017	14674	895371	116390	0	0	33	8763351	105069	9	778	20423145	2	0	0	1	0	0	0	0	0	132	67	231	0	86331	357492	2040	858	27503466
"BA10_CA1_cp_33_1"	0	4008	0	112	19	0	0	278	3	0	58	0	0	0	0	0	0	0	0	1	63583	136	2	0	2	0	16293363	9312011	115984	270418	60550	777445	53	1624	41024	0	3	1719399	922	8172	439879	91806	0	0	39	2688693	81779	1	1492	15779162	1	0	0	7	0	0	1	0	0	137	99	253	0	94833	514201	2774	1561	25132694
"BA10_CA1_cp_35_1"	2	6330	2	213	26	0	0	473	10	1	69	0	0	0	0	0	0	0	4	0	138141	349	9	3	15	0	26207211	12750110	173333	390001	85670	1445113	77	6098	76613	0	0	3149835	2022	12444	1683452	134951	0	0	80	4214370	127310	0	4500	24525238	2	1	0	5	0	0	0	0	0	419	174	535	2	116511	1681973	3550	2413	34884003
"BA10_CA1_cp_36_1"	0	4592	0	174	22	0	1	287	7	0	78	0	0	0	0	0	0	0	2	1	101979	190	4	2	2	0	23724499	12325671	199469	410495	111871	1036924	59	1729	84111	0	0	2444124	1227	10493	894121	158337	0	2	33	5107595	153645	3	1582	23196375	0	0	0	7	0	0	0	0	0	210	107	361	0	140816	528124	3867	2175	32074771
"BA10_CA1_cp_37_1"	0	5564	0	227	25	0	0	462	5	0	46	0	0	0	0	0	0	0	1	0	111690	192	7	1	1	0	26289464	14398677	193631	480668	120077	952802	86	1690	88385	0	0	2509345	1234	13794	842648	153764	0	0	50	5458825	156763	0	1645	25637091	2	0	0	6	0	0	1	0	0	236	198	376	3	136795	652373	4700	2469	35083886
"BA10_CA1_cp_38_1"	0	4630	1	196	23	0	0	403	13	0	9	0	0	0	0	0	0	0	4	0	90386	167	2	10	0	0	21992893	11335006	195539	393298	115452	717953	44	1081	83980	1	1	2317434	1001	12869	746040	166362	0	0	30	5110718	160307	0	914	21581640	2	0	0	3	0	0	0	0	0	166	190	348	1	120837	411253	4245	1974	33215335
"BA10_CA1_cp_39_1"	0	4116	0	155	14	0	0	303	8	1	19	0	0	0	0	0	0	0	0	0	114851	156	7	5	3	0	20975296	10098615	192092	367809	85146	889412	53	2333	82662	0	0	2435437	1129	13173	695909	148684	0	1	24	4757784	148312	4	2369	20163430	1	1	0	3	0	0	0	0	0	155	147	281	2	116075	811866	4218	1961	29713036
"BA10_CA1_cp_40_1"	0	3703	1	45	15	0	0	155	1	1	16	0	0	0	0	0	0	0	1	1	26249	50	1	2	3	0	10620162	3942870	66693	103899	25465	759039	14	725	26447	0	0	2818189	1027	3636	409471	82922	0	0	15	1995600	48468	2	408	10398515	2	0	0	6	1	0	0	0	0	95	41	187	1	81700	221647	661	687	14150621
"BA10_CA1_cp_41_1"	0	4293	1	154	11	0	1	324	3	0	19	0	0	0	0	0	0	0	2	3	98332	156	1	4	4	0	23697386	12348390	195925	496585	117992	836638	49	1313	86399	0	1	2469473	1289	14646	803422	174835	0	1	32	5230396	155735	0	1283	23162971	2	0	0	4	0	0	0	0	0	139	127	300	1	117679	534415	4836	2171	31284864
"BA10_CA1_cp_42_1"	0	2872	4	88	4	0	0	197	3	1	30	0	0	0	0	0	0	0	1	0	55117	112	1	2	4	0	14083227	8129762	136547	224178	54574	467457	30	627	38415	0	0	1329584	563	8080	378905	95470	0	0	16	2748662	75447	0	633	13837856	3	0	0	6	0	0	1	0	0	109	65	244	1	86113	245371	2803	1125	21671197
"BA11_CA1_cp_43_1"	0	2790	1	308	17	0	0	611	6	0	21	0	0	0	0	0	0	0	1	3	53364	100	1	4	2	0	13340650	7924089	58360	309296	47861	526293	41	1402	37480	0	1	660239	727	5997	377504	35586	0	1	59	2774382	47164	0	645	12976309	1	0	0	5	0	0	0	0	0	151	213	315	0	106925	364341	2436	1907	18615170
"BA11_CA1_cp_44_1"	0	2663	2	276	15	0	0	568	1	0	15	0	0	0	0	0	0	0	1	0	69542	185	0	12	19	0	10723714	3932907	35879	277205	42674	570935	55	5548	33659	0	1	1230850	1306	5019	442560	34109	0	0	80	2716867	95327	0	1066	9601700	0	0	0	128	0	0	0	0	0	175	317	347	0	98092	1122014	1551	1744	18524126
"BA11_CA1_cp_45_1"	0	1923	0	283	14	0	1	467	1	0	7	0	0	0	0	0	0	0	0	0	75883	133	0	4	2	0	11339598	4590758	56353	468777	80845	360030	41	1564	47780	0	1	992864	862	6497	358810	55609	0	0	34	3496354	87415	2	561	10777938	0	0	0	5	0	0	0	0	0	132	120	230	0	87205	561660	3996	2375	17826122
"BA11_CA1_cp_46_1"	0	3028	3	394	13	0	1	659	3	1	41	0	0	0	0	0	0	0	0	0	140058	180	3	3	4	0	16149695	6372037	82876	693640	109718	741108	128	3865	63356	0	0	1451120	1136	10954	445252	78616	0	0	56	4431771	173131	0	1674	14926127	3	0	0	3	0	0	0	0	0	189	223	374	0	111180	1223568	6231	3095	28162581
"BA11_CA1_cp_47_1"	0	3387	0	423	22	0	4	671	5	0	61	0	0	0	0	0	0	0	1	0	138357	193	2	4	3	0	21377738	10608679	91658	680136	145235	694938	110	1835	91377	0	1	1210230	911	13779	527271	78313	0	0	59	6221880	210247	0	782	20875372	2	1	0	5	0	0	0	0	0	220	340	411	1	145271	502366	5128	3419	31021820
"BA11_CA1_cp_48_1"	0	3181	1	360	31	0	1	649	8	2	25	0	0	0	0	0	0	0	1	1	106614	201	0	3	6	0	20076191	10504629	73859	657867	95531	898301	60	1618	73111	0	1	1101275	1033	10634	644609	64127	0	0	69	4940108	175709	2	898	19524983	4	0	0	22	0	0	0	0	0	241	270	419	0	160968	551208	5374	3160	32730089
"BA11_CA1_cp_49_1"	0	4305	4	485	19	0	2	773	4	7	34	0	0	0	0	0	0	0	1	0	154968	277	4	3	8	0	23793649	10627279	92600	674439	146607	979870	89	5423	78498	0	0	1821099	1987	9467	793779	57185	0	0	89	6769340	173186	0	1709	22528261	0	0	0	3	0	0	0	0	0	334	262	455	0	123803	1265388	5199	4665	34324012
"BA11_CA1_cp_50_1"	0	2010	5	137	19	0	0	310	5	0	8	0	0	0	0	0	0	0	0	1	39505	102	0	5	0	0	8894195	4392617	31212	220554	27321	436356	42	2647	23751	0	1	815538	781	3171	413615	54614	0	0	23	1700541	60019	0	930	8281468	0	0	0	28	1	0	0	0	0	120	166	165	0	52020	612727	1722	1406	15065938
"BA11_CA1_cp_51_1"	0	5540	0	540	53	0	1	1047	10	2	131	0	0	0	0	0	0	0	4	2	240955	346	3	2	4	0	35961564	17677978	179022	1098206	209307	1560954	154	3094	164947	0	1	2416707	1376	15353	1181338	80236	0	1	81	9632373	377161	4	1802	35104773	2	0	0	8	0	0	0	0	0	396	372	683	0	240437	856791	8973	5167	51016070
"BA11_CA1_cp_52_1"	0	3073	0	361	22	0	0	622	5	1	56	0	0	0	0	0	0	0	6	0	150510	192	1	6	3	0	21681067	9519326	91736	652121	160751	924795	77	2294	124944	0	5	1422781	1052	7887	785085	53350	0	0	59	6672129	224333	0	920	20951218	0	4	0	1	1	0	2	0	0	247	174	478	0	142835	729849	5213	3760	31315779
"BA11_CA1_cp_53_1"	0	812	0	71	6	0	0	166	0	0	5	0	0	0	0	0	0	0	1	0	22983	71	1	0	3	0	4108015	1438586	17173	170405	30044	168970	4	654	27662	0	0	339580	399	3295	162008	29456	0	0	10	1416293	44560	1	212	3913462	0	0	0	1	0	0	0	0	0	78	92	162	0	37231	194553	1021	1446	7813589
"BA11_CA1_cp_54_1"	0	2766	0	205	22	0	0	499	4	0	10	0	0	0	0	0	0	0	4	0	68338	155	1	7	5	0	21351830	9725644	79025	448695	62464	616128	53	2160	71530	0	0	1486530	1192	8559	1159538	211845	0	1	53	6316111	187786	0	934	20609920	1	0	0	8	0	0	0	0	0	194	366	386	1	153009	741910	3126	2565	37685359
"BA11_CA1_cp_55_1"	0	3145	4	321	20	0	0	638	8	1	62	0	0	0	0	0	0	0	11	0	154285	182	3	5	3	0	20873286	8451634	117662	816862	170765	784406	90	1591	110237	0	5	1445697	892	12412	670300	129202	0	0	63	7084525	242657	0	846	20367008	0	0	0	4	0	0	0	0	0	243	184	416	5	157106	506278	7033	3483	35923677
"BA11_CA1_cp_56_1"	0	1450	0	90	14	0	0	231	3	0	20	0	0	0	0	0	0	0	0	0	53718	68	1	3	1	0	6934190	2685979	65647	236734	41803	278852	24	2147	27629	0	0	571683	560	3981	157807	39142	0	0	16	2332701	73967	2	445	6638025	1	0	0	16	0	0	0	0	0	80	61	149	0	60528	296165	1445	1027	10017140
"BA11_CA1_cp_57_1"	0	2290	2	154	12	0	3	420	9	0	6	0	0	0	0	0	0	0	0	0	53125	108	0	2	2	0	11965306	4553032	72088	409045	57433	690502	48	2580	35659	0	0	1106276	953	7420	489445	46226	0	0	32	3562094	97252	0	758	11287715	0	0	0	0	0	0	0	0	0	147	105	368	1	94786	677591	2941	2391	18138920
"BA11_CA1_cp_58_1"	0	1991	0	186	16	0	1	344	8	1	44	0	0	0	0	0	0	0	0	0	69924	119	0	3	7	0	8708818	4702076	64475	332484	55339	331780	53	1469	12507	0	0	531834	577	6805	169105	81408	0	0	31	1877974	43276	0	567	8373636	0	0	0	6	0	0	1	0	0	123	53	272	0	83981	335182	3086	1710	13091332
"BA12_CA1_cp_59_1"	0	34096	7	1280	188	11	0	3400	44	5	310	0	0	0	0	0	0	0	11	20	505289	1360	36	52	19	0	126849384	75833576	761600	1915741	365932	6648800	486	22880	206110	0	9	11824536	10549	52363	3568622	478555	0	9	390	17355629	428489	16	18554	121056163	16	0	0	155	0	0	0	0	0	1760	1018	3035	6	986360	5793221	13585	11254	189543351
"BA12_CA1_svz_1_1"	0	2571	0	66	7	0	1	214	1	0	8	0	0	0	0	0	0	0	1	0	26486	99	3	1	2	0	7321654	3345839	46323	62271	16558	354017	24	1181	18852	0	1	1110357	629	3382	316993	40832	0	0	23	1634802	26442	1	775	7056818	0	0	0	21	0	0	1	0	0	119	106	175	0	46750	264836	428	456	11429198
"BA12_CA1_svz_10_1"	0	4253	0	117	10	0	0	312	8	0	29	0	0	0	0	0	0	0	4	1	82828	167	9	4	5	0	16362616	7008465	145336	213214	76307	945674	36	2759	70363	0	1	1802969	1195	9231	669096	90290	0	1	58	4387412	84564	4	2095	15712223	1	0	0	1	0	0	0	0	0	177	128	282	2	111863	650393	1467	1485	22430098
"BA12_CA1_svz_11_1"	0	4163	2	77	24	0	1	233	3	1	11	0	0	0	0	0	0	0	2	1	63559	113	6	1	3	0	14826228	5684112	171750	214081	71125	562870	36	1294	60228	0	2	1828737	922	13577	816356	106289	0	0	34	4687607	89919	1	946	14484637	0	0	0	0	0	0	0	0	0	118	82	209	1	103652	341591	1591	898	21425793
"BA12_CA1_svz_12_1"	0	3352	5	122	27	0	1	305	3	0	15	0	0	0	0	0	0	0	0	2	80121	144	5	2	5	0	14756008	6470175	147582	251312	81760	450064	37	1329	72261	0	0	1555266	671	12066	568741	95409	0	0	32	4451496	102429	1	830	14439448	3	0	0	0	0	0	0	0	0	186	97	254	2	90080	316560	1937	1319	19770742
"BA12_CA1_svz_13_1"	0	4629	1	62	13	0	0	213	0	1	17	1	0	0	0	0	0	0	3	0	54624	75	2	2	1	0	11433052	3446172	116012	156303	39603	555785	29	1363	48447	0	0	2521063	1010	8579	474403	79565	0	0	33	3409698	69560	5	875	11045557	1	0	0	4	0	0	0	0	0	111	55	181	1	54612	387495	1633	810	14956323
"BA12_CA1_svz_14_1"	0	3374	1	89	12	0	0	174	1	0	9	0	0	0	0	0	0	0	3	0	68986	147	5	3	2	0	13915292	4924165	160039	231267	41226	539303	38	1611	67723	1	2	1901489	1163	12792	798892	90578	0	1	34	4363921	58775	0	1540	13335915	0	0	0	1	0	0	0	0	0	129	88	225	0	65572	579377	1766	768	21560118
"BA12_CA1_svz_15_1"	0	2418	0	55	18	0	0	140	1	0	15	0	0	0	0	0	0	0	0	0	47238	98	5	4	2	0	9893299	4082832	128961	144376	32977	241099	13	608	26780	0	0	1434002	551	6504	562676	108954	0	0	24	2785174	32882	1	516	9690885	0	0	0	3	0	0	1	0	0	100	37	141	4	48910	202414	1916	849	13565745
"BA12_CA1_svz_2_1"	0	2213	2	79	4	0	0	188	2	0	6	0	0	0	0	0	0	0	1	0	33670	87	4	3	2	0	8093602	4051094	59584	101057	34521	378823	22	1163	20006	0	0	1028900	671	3775	280584	59400	0	0	23	1646651	39410	0	898	7803625	1	0	0	10	0	0	0	0	0	98	48	183	1	59012	289977	839	590	12884731
"BA12_CA1_svz_3_1"	0	2709	0	43	11	0	1	197	4	0	6	0	0	0	0	0	0	0	4	2	42105	111	1	4	9	1	6253796	2475512	38536	60740	16706	419206	35	2615	22411	0	0	956337	1018	3004	289800	17785	0	1	34	1232295	16645	0	2195	5634527	1	0	0	0	0	0	0	0	0	160	80	166	2	33080	619269	473	482	11514217
"BA12_CA1_svz_4_1"	0	2529	0	83	8	0	0	218	2	0	10	0	0	0	0	0	0	0	2	0	47158	105	4	1	6	0	9086903	4741612	60049	119697	38648	368805	36	1236	25020	0	1	1019806	647	5348	277509	50467	0	0	21	1884848	48292	1	1064	8750039	2	0	0	10	0	0	0	0	0	142	90	182	2	54550	336864	1078	750	14992136
"BA12_CA1_svz_5_1"	0	2987	1	57	10	0	0	195	2	0	7	0	0	0	0	0	0	0	1	0	34465	80	3	3	0	0	9998617	4375439	73771	102677	24693	555093	21	1450	27990	0	0	1626004	1051	7268	440827	73673	0	0	34	2181783	53163	3	931	9651863	1	0	0	12	0	0	0	0	0	119	86	182	1	66465	346754	797	518	16337774
"BA12_CA1_svz_6_1"	0	1809	2	57	14	0	0	113	1	1	6	0	0	0	0	0	0	0	0	0	39714	75	2	4	2	0	7461255	3283490	54536	118399	33490	297496	21	548	34202	0	0	797530	467	5440	282144	44927	0	0	20	2217157	51516	1	368	7305046	0	0	0	1	0	0	0	0	0	88	46	157	1	39526	156209	1098	577	13135592
"BA12_CA1_svz_7_1"	0	2308	2	51	20	0	1	156	0	0	5	0	0	0	0	0	0	0	1	1	30020	72	4	1	3	0	8035031	3878798	66869	94027	21457	288425	19	623	27511	0	1	849821	555	4755	343926	51382	0	1	17	2134068	34963	1	493	7881163	0	0	0	3	0	0	0	0	0	97	49	146	2	49280	153868	682	547	13198979
"BA12_CA1_svz_8_1"	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	35	0	1	0	0	133870	73071	998	1929	366	5889	0	26	284	0	0	16562	4	21	4985	314	0	0	0	20204	501	0	47	126574	0	0	0	0	0	0	0	0	0	1	0	1	0	704	7296	21	14	229923
"BA12_CA1_svz_9_1"	0	2960	1	34	18	0	1	156	1	1	15	0	0	0	0	0	0	0	1	0	62444	79	3	1	3	0	10834238	3134661	138347	181978	57523	518203	15	1460	44294	0	0	1634573	962	11096	675992	64661	0	0	42	3684320	64279	5	1095	10345456	0	0	0	0	0	0	0	0	0	127	87	189	3	63537	488782	1601	688	18249077
"BA13_CA1_svz_16_1"	4	6574	10	197	54	0	0	475	11	2	27	0	0	0	0	0	0	0	1	1	149485	249	3	6	13	0	26355236	14566655	135225	283732	63660	1334033	66	4840	72935	0	5	2477490	1954	8516	736235	110994	0	1	96	4596565	104349	2	5525	24788084	2	0	0	14	0	0	0	0	0	315	169	472	1	122324	1567152	3106	1691	33168632
"BA13_CA1_svz_17_1"	0	4648	0	84	26	0	1	356	11	0	11	0	0	0	0	0	0	0	0	1	78606	171	6	3	0	0	17693631	9108342	115342	142215	37196	754742	89	1386	60996	0	3	1991285	837	5007	506771	75998	0	0	46	4153261	52684	1	1209	17171944	0	0	0	12	0	0	0	0	0	161	166	272	2	77387	521687	1645	965	22606717
"BA13_CA1_svz_18_1"	0	6245	0	166	23	0	0	377	18	2	14	0	0	0	0	0	0	0	1	2	139403	192	4	1	3	0	27789973	13108222	219430	287867	72373	1066805	35	1841	107788	0	6	3147039	1372	10570	882089	187096	0	1	71	7551717	93958	6	1919	27015744	3	0	0	6	0	0	0	0	0	193	148	374	1	122815	774229	3983	1565	36753077
"BA13_CA1_svz_19_1"	0	4027	0	140	22	0	3	289	23	1	27	0	0	0	0	0	0	0	0	0	133790	175	4	4	3	0	19753642	8565896	156759	258111	88344	979334	47	2868	73909	0	2	2462828	1618	11084	594622	147433	0	0	50	5010095	134650	0	3619	18731072	0	0	0	2	0	0	0	0	0	147	72	279	2	95450	1022570	3983	1360	26533226
