V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
28	BA2	CA1_cor_33	28	CA1_cor_33	BulkSeq_cor_33	CA1	CA1_cor_33	cor	33	BA2_CA1_cor_33_1	P23	Motor cortex	3	Male
29	BA2	CA1_cor_34	29	CA1_cor_34	BulkSeq_cor_34	CA1	CA1_cor_34	cor	34	BA2_CA1_cor_34_1	P23	Motor cortex	15	Male
33	BA3	CA1_olf_33	1	CA1_olf_33	BulkSeq_olf_33	CA1	CA1_olf_33	olf	33	BA3_CA1_olf_33_1	P23	Olfactory bulb	3	Male
34	BA3	CA1_olf_34	2	CA1_olf_34	BulkSeq_olf_34	CA1	CA1_olf_34	olf	34	BA3_CA1_olf_34_1	P23	Olfactory bulb	15	Male
62	BA4	CA1_cor_3	30	CA1_cor_3	BulkSeq_cor_3	CA1	CA1_cor_3	cor	3	BA4_CA1_cor_3_1	P23	Motor cortex	12	Male
65	BA5	CA1_olf_9	1	CA1_olf_9	BulkSeq_olf_9	CA1	CA1_olf_9	olf	9	BA5_CA1_olf_9_1	P23	Olfactory bulb	12	Male
71	BA5	CA1_olf_15	15	CA1_olf_15	BulkSeq_olf_15	CA1	CA1_olf_15	olf	15	BA5_CA1_olf_15_1	P23	Olfactory bulb	12	Male
73	BA5	CA1_cor_6	25	CA1_cor_6	BulkSeq_cor_6	CA1	CA1_cor_6	cor	6	BA5_CA1_cor_6_1	P23	Motor cortex	12	Male
76	BA5	CA1_cor_9	28	CA1_cor_9	BulkSeq_cor_9	CA1	CA1_cor_9	cor	9	BA5_CA1_cor_9_1	P23	Motor cortex	12	Male
79	BA5	CA1_cor_12	31	CA1_cor_12	BulkSeq_cor_12	CA1	CA1_cor_12	cor	12	BA5_CA1_cor_12_1	P23	Motor cortex	12	Male
81	BA6	CA1_olf_25	1	CA1_olf_25	BulkSeq_olf_25	CA1	CA1_olf_25	olf	25	BA6_CA1_olf_25_1	P23	Olfactory bulb	3	Male
82	BA6	CA1_olf_26	2	CA1_olf_26	BulkSeq_olf_26	CA1	CA1_olf_26	olf	26	BA6_CA1_olf_26_1	P23	Olfactory bulb	15	Male
85	BA6	CA1_olf_29	13	CA1_olf_29	BulkSeq_olf_29	CA1	CA1_olf_29	olf	29	BA6_CA1_olf_29_1	P23	Olfactory bulb	3	Male
86	BA6	CA1_olf_30	14	CA1_olf_30	BulkSeq_olf_30	CA1	CA1_olf_30	olf	30	BA6_CA1_olf_30_1	P23	Olfactory bulb	15	Male
90	BA6	CA1_cor_15	26	CA1_cor_15	BulkSeq_cor_15	CA1	CA1_cor_15	cor	15	BA6_CA1_cor_15_1	P23	Motor cortex	12	Male
92	BA6	CA1_cor_17	28	CA1_cor_17	BulkSeq_cor_17	CA1	CA1_cor_17	cor	17	BA6_CA1_cor_17_1	P23	Motor cortex	3	Male
93	BA6	CA1_cor_18	29	CA1_cor_18	BulkSeq_cor_18	CA1	CA1_cor_18	cor	18	BA6_CA1_cor_18_1	P23	Motor cortex	15	Male
96	BA6	CA1_cor_21	32	CA1_cor_21	BulkSeq_cor_21	CA1	CA1_cor_21	cor	21	BA6_CA1_cor_21_1	P23	Motor cortex	3	Male
121	BA8	CA1_cp_3	25	CA1_cp_3	BulkSeq_cp_3	CA1	CA1_cp_3	cp	3	BA8_CA1_cp_3_1	P24	Caudate putamen	12	Male
124	BA8	CA1_cp_6	28	CA1_cp_6	BulkSeq_cp_6	CA1	CA1_cp_6	cp	6	BA8_CA1_cp_6_1	P24	Caudate putamen	12	Male
127	BA8	CA1_cp_9	31	CA1_cp_9	BulkSeq_cp_9	CA1	CA1_cp_9	cp	9	BA8_CA1_cp_9_1	P24	Caudate putamen	12	Male
130	BA9	CA1_cp_12	2	CA1_cp_12	BulkSeq_cp_12	CA1	CA1_cp_12	cp	12	BA9_CA1_cp_12_1	P24	Caudate putamen	12	Male
133	BA9	CA1_cp_15	13	CA1_cp_15	BulkSeq_cp_15	CA1	CA1_cp_15	cp	15	BA9_CA1_cp_15_1	P24	Caudate putamen	12	Male
135	BA9	CA1_cp_17	15	CA1_cp_17	BulkSeq_cp_17	CA1	CA1_cp_17	cp	17	BA9_CA1_cp_17_1	P24	Caudate putamen	3	Male
136	BA9	CA1_cp_18	16	CA1_cp_18	BulkSeq_cp_18	CA1	CA1_cp_18	cp	18	BA9_CA1_cp_18_1	P24	Caudate putamen	15	Male
139	BA9	CA1_cp_21	27	CA1_cp_21	BulkSeq_cp_21	CA1	CA1_cp_21	cp	21	BA9_CA1_cp_21_1	P24	Caudate putamen	3	Male
140	BA9	CA1_cp_22	28	CA1_cp_22	BulkSeq_cp_22	CA1	CA1_cp_22	cp	22	BA9_CA1_cp_22_1	P24	Caudate putamen	15	Male
144	BA9	CA1_cp_26	32	CA1_cp_26	BulkSeq_cp_26	CA1	CA1_cp_26	cp	26	BA9_CA1_cp_26_1	P24	Caudate putamen	15	Male
148	BA10	CA1_cp_29	4	CA1_cp_29	BulkSeq_cp_29	CA1	CA1_cp_29	cp	29	BA10_CA1_cp_29_1	P24	Caudate putamen	3	Male
149	BA10	CA1_cp_30	13	CA1_cp_30	BulkSeq_cp_30	CA1	CA1_cp_30	cp	30	BA10_CA1_cp_30_1	P24	Caudate putamen	15	Male
152	BA10	CA1_cp_33	16	CA1_cp_33	BulkSeq_cp_33	CA1	CA1_cp_33	cp	33	BA10_CA1_cp_33_1	P24	Caudate putamen	3	Male
180	BA12	CA1_svz_3	4	CA1_svz_3	BulkSeq_svz_3	CA1	CA1_svz_3	svz	3	BA12_CA1_svz_3_1	P24	Subventricular zone	12	Male
183	BA12	CA1_svz_6	15	CA1_svz_6	BulkSeq_svz_6	CA1	CA1_svz_6	svz	6	BA12_CA1_svz_6_1	P24	Subventricular zone	12	Male
186	BA12	CA1_svz_9	26	CA1_svz_9	BulkSeq_svz_9	CA1	CA1_svz_9	svz	9	BA12_CA1_svz_9_1	P24	Subventricular zone	12	Male
189	BA12	CA1_svz_12	29	CA1_svz_12	BulkSeq_svz_12	CA1	CA1_svz_12	svz	12	BA12_CA1_svz_12_1	P24	Subventricular zone	12	Male
192	BA12	CA1_svz_15	32	CA1_svz_15	BulkSeq_svz_15	CA1	CA1_svz_15	svz	15	BA12_CA1_svz_15_1	P24	Subventricular zone	12	Male
194	BA13	CA1_svz_17	2	CA1_svz_17	BulkSeq_svz_17	CA1	CA1_svz_17	svz	17	BA13_CA1_svz_17_1	P25	Subventricular zone	3	Male
195	BA13	CA1_svz_18	3	CA1_svz_18	BulkSeq_svz_18	CA1	CA1_svz_18	svz	18	BA13_CA1_svz_18_1	P25	Subventricular zone	15	Male
198	BA13	CA1_svz_21	14	CA1_svz_21	BulkSeq_svz_21	CA1	CA1_svz_21	svz	21	BA13_CA1_svz_21_1	P25	Subventricular zone	3	Male
199	BA13	CA1_svz_22	15	CA1_svz_22	BulkSeq_svz_22	CA1	CA1_svz_22	svz	22	BA13_CA1_svz_22_1	P25	Subventricular zone	15	Male
202	BA13	CA1_svz_25	26	CA1_svz_25	BulkSeq_svz_25	CA1	CA1_svz_25	svz	25	BA13_CA1_svz_25_1	P25	Subventricular zone	3	Male
203	BA13	CA1_svz_26	27	CA1_svz_26	BulkSeq_svz_26	CA1	CA1_svz_26	svz	26	BA13_CA1_svz_26_1	P25	Subventricular zone	15	Male
206	BA13	CA1_svz_29	30	CA1_svz_29	BulkSeq_svz_29	CA1	CA1_svz_29	svz	29	BA13_CA1_svz_29_1	P25	Subventricular zone	3	Male
207	BA13	CA1_svz_30	31	CA1_svz_30	BulkSeq_svz_30	CA1	CA1_svz_30	svz	30	BA13_CA1_svz_30_1	P25	Subventricular zone	15	Male
210	BA14	CA1_svz_33	2	CA1_svz_33	BulkSeq_svz_33	CA1	CA1_svz_33	svz	33	BA14_CA1_svz_33_1	P25	Subventricular zone	3	Male
211	BA14	CA1_svz_34	3	CA1_svz_34	BulkSeq_svz_34	CA1	CA1_svz_34	svz	34	BA14_CA1_svz_34_1	P25	Subventricular zone	15	Male
237	BA15	CA1_cc_3	31	CA1_cc_3	BulkSeq_cc_3	CA1	CA1_cc_3	cc	3	BA15_CA1_cc_3_1	P25	Corpus callosum	12	Male
240	BA16	CA1_cc_6	2	CA1_cc_6	BulkSeq_cc_6	CA1	CA1_cc_6	cc	6	BA16_CA1_cc_6_1	P25	Corpus callosum	12	Male
243	BA16	CA1_cc_9	13	CA1_cc_9	BulkSeq_cc_9	CA1	CA1_cc_9	cc	9	BA16_CA1_cc_9_1	P25	Corpus callosum	12	Male
246	BA16	CA1_cc_12	16	CA1_cc_12	BulkSeq_cc_12	CA1	CA1_cc_12	cc	12	BA16_CA1_cc_12_1	P25	Corpus callosum	12	Male
249	BA16	CA1_cc_15	27	CA1_cc_15	BulkSeq_cc_15	CA1	CA1_cc_15	cc	15	BA16_CA1_cc_15_1	P25	Corpus callosum	12	Male
251	BA16	CA1_cc_17	29	CA1_cc_17	BulkSeq_cc_17	CA1	CA1_cc_17	cc	17	BA16_CA1_cc_17_1	P25	Corpus callosum	3	Male
252	BA16	CA1_cc_18	30	CA1_cc_18	BulkSeq_cc_18	CA1	CA1_cc_18	cc	18	BA16_CA1_cc_18_1	P25	Corpus callosum	15	Male
255	BA17	CA1_cc_21	1	CA1_cc_21	BulkSeq_cc_21	CA1	CA1_cc_21	cc	21	BA17_CA1_cc_21_1	P25	Corpus callosum	3	Male
256	BA17	CA1_cc_22	2	CA1_cc_22	BulkSeq_cc_22	CA1	CA1_cc_22	cc	22	BA17_CA1_cc_22_1	P25	Corpus callosum	15	Male
259	BA17	CA1_cc_25	13	CA1_cc_25	BulkSeq_cc_25	CA1	CA1_cc_25	cc	25	BA17_CA1_cc_25_1	P25	Corpus callosum	3	Male
260	BA17	CA1_cc_26	14	CA1_cc_26	BulkSeq_cc_26	CA1	CA1_cc_26	cc	26	BA17_CA1_cc_26_1	P25	Corpus callosum	15	Male
263	BA17	CA1_cc_29	25	CA1_cc_29	BulkSeq_cc_29	CA1	CA1_cc_29	cc	29	BA17_CA1_cc_29_1	P25	Corpus callosum	3	Male
264	BA17	CA1_cc_30	26	CA1_cc_30	BulkSeq_cc_30	CA1	CA1_cc_30	cc	30	BA17_CA1_cc_30_1	P25	Corpus callosum	15	Male
267	BA17	CA1_cc_33	29	CA1_cc_33	BulkSeq_cc_33	CA1	CA1_cc_33	cc	33	BA17_CA1_cc_33_1	P25	Corpus callosum	3	Male
268	BA17	CA1_cc_34	30	CA1_cc_34	BulkSeq_cc_34	CA1	CA1_cc_34	cc	34	BA17_CA1_cc_34_1	P25	Corpus callosum	15	Male
296	BA19	CA1_th_3	26	CA1_th_3	BulkSeq_th_3	CA1	CA1_th_3	th	3	BA19_CA1_th_3_1	P26	Thalamus	12	Male
299	BA19	CA1_th_6	29	CA1_th_6	BulkSeq_th_6	CA1	CA1_th_6	th	6	BA19_CA1_th_6_1	P26	Thalamus	12	Male
302	BA19	CA1_th_9	32	CA1_th_9	BulkSeq_th_9	CA1	CA1_th_9	th	9	BA19_CA1_th_9_1	P26	Thalamus	12	Male
305	BA20	CA1_th_12	3	CA1_th_12	BulkSeq_th_12	CA1	CA1_th_12	th	12	BA20_CA1_th_12_1	P26	Thalamus	12	Male
308	BA20	CA1_th_15	14	CA1_th_15	BulkSeq_th_15	CA1	CA1_th_15	th	15	BA20_CA1_th_15_1	P26	Thalamus	12	Male
310	BA20	CA1_th_17	16	CA1_th_17	BulkSeq_th_17	CA1	CA1_th_17	th	17	BA20_CA1_th_17_1	P26	Thalamus	3	Male
315	BA20	CA1_hy_3	29	CA1_hy_3	BulkSeq_hy_3	CA1	CA1_hy_3	hy	3	BA20_CA1_hy_3_1	P26	Hypothalamus	12	Male
318	BA20	CA1_hy_6	32	CA1_hy_6	BulkSeq_hy_6	CA1	CA1_hy_6	hy	6	BA20_CA1_hy_6_1	P26	Hypothalamus	12	Male
319	BA21	CA1_th_18	1	CA1_th_18	BulkSeq_th_18	CA1	CA1_th_18	th	18	BA21_CA1_th_18_1	P26	Thalamus	15	Male
322	BA21	CA1_th_21	4	CA1_th_21	BulkSeq_th_21	CA1	CA1_th_21	th	21	BA21_CA1_th_21_1	P26	Thalamus	3	Male
323	BA21	CA1_th_22	13	CA1_th_22	BulkSeq_th_22	CA1	CA1_th_22	th	22	BA21_CA1_th_22_1	P26	Thalamus	15	Male
326	BA21	CA1_th_25	16	CA1_th_25	BulkSeq_th_25	CA1	CA1_th_25	th	25	BA21_CA1_th_25_1	P26	Thalamus	3	Male
327	BA21	CA1_th_26	25	CA1_th_26	BulkSeq_th_26	CA1	CA1_th_26	th	26	BA21_CA1_th_26_1	P26	Thalamus	15	Male
330	BA21	CA1_th_29	28	CA1_th_29	BulkSeq_th_29	CA1	CA1_th_29	th	29	BA21_CA1_th_29_1	P26	Thalamus	3	Male
331	BA21	CA1_th_30	29	CA1_th_30	BulkSeq_th_30	CA1	CA1_th_30	th	30	BA21_CA1_th_30_1	P26	Thalamus	15	Male
334	BA21	CA1_th_33	32	CA1_th_33	BulkSeq_th_33	CA1	CA1_th_33	th	33	BA21_CA1_th_33_1	P26	Thalamus	3	Male
335	BA22	CA1_th_34	1	CA1_th_34	BulkSeq_th_34	CA1	CA1_th_34	th	34	BA22_CA1_th_34_1	P26	Thalamus	15	Male
377	BA24	CA1_hy_12	27	CA1_hy_12	BulkSeq_hy_12	CA1	CA1_hy_12	hy	12	BA24_CA1_hy_12_1	P26	Hypothalamus	12	Male
385	BA25	CA1_hy_33	3	CA1_hy_33	BulkSeq_hy_33	CA1	CA1_hy_33	hy	33	BA25_CA1_hy_33_1	P27	Hypothalamus	3	Male
386	BA25	CA1_hy_34	4	CA1_hy_34	BulkSeq_hy_34	CA1	CA1_hy_34	hy	34	BA25_CA1_hy_34_1	P27	Hypothalamus	15	Male
393	BA25	CA1_hi_6	27	CA1_hi_6	BulkSeq_hi_6	CA1	CA1_hi_6	hi	6	BA25_CA1_hi_6_1	P27	Hippocampus (anterior)	12	Male
396	BA25	CA1_hi_9	30	CA1_hi_9	BulkSeq_hi_9	CA1	CA1_hi_9	hi	9	BA25_CA1_hi_9_1	P27	Hippocampus (anterior)	12	Male
407	BA26	CA1_hi_12	25	CA1_hi_12	BulkSeq_hi_12	CA1	CA1_hi_12	hi	12	BA26_CA1_hi_12_1	P27	Hippocampus (anterior)	12	Male
410	BA26	CA1_hi_15	28	CA1_hi_15	BulkSeq_hi_15	CA1	CA1_hi_15	hi	15	BA26_CA1_hi_15_1	P27	Hippocampus (anterior)	12	Male
412	BA26	CA1_hi_17	30	CA1_hi_17	BulkSeq_hi_17	CA1	CA1_hi_17	hi	17	BA26_CA1_hi_17_1	P27	Hippocampus (anterior)	3	Male
413	BA26	CA1_hi_18	31	CA1_hi_18	BulkSeq_hi_18	CA1	CA1_hi_18	hi	18	BA26_CA1_hi_18_1	P27	Hippocampus (anterior)	15	Male
424	BA27	CA1_hi_21	26	CA1_hi_21	BulkSeq_hi_21	CA1	CA1_hi_21	hi	21	BA27_CA1_hi_21_1	P27	Hippocampus (anterior)	3	Male
425	BA27	CA1_hi_22	27	CA1_hi_22	BulkSeq_hi_22	CA1	CA1_hi_22	hi	22	BA27_CA1_hi_22_1	P27	Hippocampus (anterior)	15	Male
428	BA27	CA1_hi_25	30	CA1_hi_25	BulkSeq_hi_25	CA1	CA1_hi_25	hi	25	BA27_CA1_hi_25_1	P27	Hippocampus (anterior)	3	Male
429	BA27	CA1_hi_26	31	CA1_hi_26	BulkSeq_hi_26	CA1	CA1_hi_26	hi	26	BA27_CA1_hi_26_1	P27	Hippocampus (anterior)	15	Male
439	BA28	CA1_hi_29	25	CA1_hi_29	BulkSeq_hi_29	CA1	CA1_hi_29	hi	29	BA28_CA1_hi_29_1	P27	Hippocampus (anterior)	3	Male
440	BA28	CA1_hi_30	26	CA1_hi_30	BulkSeq_hi_30	CA1	CA1_hi_30	hi	30	BA28_CA1_hi_30_1	P27	Hippocampus (anterior)	15	Male
443	BA28	CA1_hi_33	29	CA1_hi_33	BulkSeq_hi_33	CA1	CA1_hi_33	hi	33	BA28_CA1_hi_33_1	P27	Hippocampus (anterior)	3	Male
444	BA28	CA1_hi_34	30	CA1_hi_34	BulkSeq_hi_34	CA1	CA1_hi_34	hi	34	BA28_CA1_hi_34_1	P27	Hippocampus (anterior)	15	Male
457	BA29	CA1_plx_3	27	CA1_plx_3	BulkSeq_plx_3	CA1	CA1_plx_3	plx	3	BA29_CA1_plx_3_1	P27	Choroid Plexus	12	Male
460	BA29	CA1_plx_6	30	CA1_plx_6	BulkSeq_plx_6	CA1	CA1_plx_6	plx	6	BA29_CA1_plx_6_1	P27	Choroid Plexus	12	Male
479	BA31	CA1_plx_9	1	CA1_plx_9	BulkSeq_plx_9	CA1	CA1_plx_9	plx	9	BA31_CA1_plx_9_1	P28	Choroid Plexus	12	Male
482	BA31	CA1_plx_12	4	CA1_plx_12	BulkSeq_plx_12	CA1	CA1_plx_12	plx	12	BA31_CA1_plx_12_1	P28	Choroid Plexus	12	Male
485	BA31	CA1_plx_15	15	CA1_plx_15	BulkSeq_plx_15	CA1	CA1_plx_15	plx	15	BA31_CA1_plx_15_1	P28	Choroid Plexus	12	Male
492	BA31	CA1_vis_3	30	CA1_vis_3	BulkSeq_vis_3	CA1	CA1_vis_3	vis	3	BA31_CA1_vis_3_1	P28	Visual Cortex	12	Male
495	BA32	CA1_plx_17	1	CA1_plx_17	BulkSeq_plx_17	CA1	CA1_plx_17	plx	17	BA32_CA1_plx_17_1	P28	Choroid Plexus	3	Male
496	BA32	CA1_plx_18	2	CA1_plx_18	BulkSeq_plx_18	CA1	CA1_plx_18	plx	18	BA32_CA1_plx_18_1	P28	Choroid Plexus	15	Male
499	BA32	CA1_plx_21	13	CA1_plx_21	BulkSeq_plx_21	CA1	CA1_plx_21	plx	21	BA32_CA1_plx_21_1	P28	Choroid Plexus	3	Male
501	BA32	CA1_plx_22	15	CA1_plx_22	BulkSeq_plx_22	CA1	CA1_plx_22	plx	22	BA32_CA1_plx_22_1	P28	Choroid Plexus	15	Male
503	BA32	CA1_hi2_6	25	CA1_hi2_6	BulkSeq_hi2_6	CA1	CA1_hi2_6	hi2	6	BA32_CA1_hi2_6_1	P28	Hippocampus (posterior)	12	Male
506	BA32	CA1_hi2_9	28	CA1_hi2_9	BulkSeq_hi2_9	CA1	CA1_hi2_9	hi2	9	BA32_CA1_hi2_9_1	P28	Hippocampus (posterior)	12	Male
509	BA32	CA1_hi2_12	31	CA1_hi2_12	BulkSeq_hi2_12	CA1	CA1_hi2_12	hi2	12	BA32_CA1_hi2_12_1	P28	Hippocampus (posterior)	12	Male
511	BA33	CA1_plx_25	1	CA1_plx_25	BulkSeq_plx_25	CA1	CA1_plx_25	plx	25	BA33_CA1_plx_25_1	P28	Choroid Plexus	3	Male
512	BA33	CA1_plx_26	2	CA1_plx_26	BulkSeq_plx_26	CA1	CA1_plx_26	plx	26	BA33_CA1_plx_26_1	P28	Choroid Plexus	15	Male
515	BA33	CA1_plx_29	13	CA1_plx_29	BulkSeq_plx_29	CA1	CA1_plx_29	plx	29	BA33_CA1_plx_29_1	P28	Choroid Plexus	3	Male
516	BA33	CA1_plx_30	14	CA1_plx_30	BulkSeq_plx_30	CA1	CA1_plx_30	plx	30	BA33_CA1_plx_30_1	P28	Choroid Plexus	15	Male
520	BA33	CA1_hi2_15	26	CA1_hi2_15	BulkSeq_hi2_15	CA1	CA1_hi2_15	hi2	15	BA33_CA1_hi2_15_1	P28	Hippocampus (posterior)	12	Male
522	BA33	CA1_hi2_17	28	CA1_hi2_17	BulkSeq_hi2_17	CA1	CA1_hi2_17	hi2	17	BA33_CA1_hi2_17_1	P28	Hippocampus (posterior)	3	Male
523	BA33	CA1_hi2_18	29	CA1_hi2_18	BulkSeq_hi2_18	CA1	CA1_hi2_18	hi2	18	BA33_CA1_hi2_18_1	P28	Hippocampus (posterior)	15	Male
526	BA33	CA1_hi2_21	32	CA1_hi2_21	BulkSeq_hi2_21	CA1	CA1_hi2_21	hi2	21	BA33_CA1_hi2_21_1	P28	Hippocampus (posterior)	3	Male
527	BA34	CA1_plx_33	1	CA1_plx_33	BulkSeq_plx_33	CA1	CA1_plx_33	plx	33	BA34_CA1_plx_33_1	P28	Choroid Plexus	3	Male
528	BA34	CA1_plx_34	2	CA1_plx_34	BulkSeq_plx_34	CA1	CA1_plx_34	plx	34	BA34_CA1_plx_34_1	P28	Choroid Plexus	15	Male
535	BA34	CA1_hi2_22	25	CA1_hi2_22	BulkSeq_hi2_22	CA1	CA1_hi2_22	hi2	22	BA34_CA1_hi2_22_1	P28	Hippocampus (posterior)	15	Male
538	BA34	CA1_hi2_25	28	CA1_hi2_25	BulkSeq_hi2_25	CA1	CA1_hi2_25	hi2	25	BA34_CA1_hi2_25_1	P28	Hippocampus (posterior)	3	Male
539	BA34	CA1_hi2_26	29	CA1_hi2_26	BulkSeq_hi2_26	CA1	CA1_hi2_26	hi2	26	BA34_CA1_hi2_26_1	P28	Hippocampus (posterior)	15	Male
542	BA34	CA1_hi2_29	32	CA1_hi2_29	BulkSeq_hi2_29	CA1	CA1_hi2_29	hi2	29	BA34_CA1_hi2_29_1	P28	Hippocampus (posterior)	3	Male
551	BA35	CA1_hi2_30	25	CA1_hi2_30	BulkSeq_hi2_30	CA1	CA1_hi2_30	hi2	30	BA35_CA1_hi2_30_1	P28	Hippocampus (posterior)	15	Male
554	BA35	CA1_hi2_33	28	CA1_hi2_33	BulkSeq_hi2_33	CA1	CA1_hi2_33	hi2	33	BA35_CA1_hi2_33_1	P28	Hippocampus (posterior)	3	Male
555	BA35	CA1_hi2_34	29	CA1_hi2_34	BulkSeq_hi2_34	CA1	CA1_hi2_34	hi2	34	BA35_CA1_hi2_34_1	P28	Hippocampus (posterior)	15	Male
585	BA37	CA1_vis_29	27	CA1_vis_29	BulkSeq_vis_29	CA1	CA1_vis_29	vis	29	BA37_CA1_vis_29_1	P29	Visual Cortex	3	Male
586	BA37	CA1_vis_30	28	CA1_vis_30	BulkSeq_vis_30	CA1	CA1_vis_30	vis	30	BA37_CA1_vis_30_1	P29	Visual Cortex	15	Male
589	BA37	CA1_vis_33	31	CA1_vis_33	BulkSeq_vis_33	CA1	CA1_vis_33	vis	33	BA37_CA1_vis_33_1	P29	Visual Cortex	3	Male
590	BA37	CA1_vis_34	32	CA1_vis_34	BulkSeq_vis_34	CA1	CA1_vis_34	vis	34	BA37_CA1_vis_34_1	P29	Visual Cortex	15	Male
607	BA39	CA1_hi2_3	1	CA1_hi2_3	BulkSeq_hi2_3	CA1	CA1_hi2_3	hi2	3	BA39_CA1_hi2_3_1	P29	Hippocampus (posterior)	12	Male
609	BA39	CA1_vis_6	4	CA1_vis_6	BulkSeq_vis_6	CA1	CA1_vis_6	vis	6	BA39_CA1_vis_6_1	P29	Visual Cortex	12	Male
625	BA40	CA1_vis_15	13	CA1_vis_15	BulkSeq_vis_15	CA1	CA1_vis_15	vis	15	BA40_CA1_vis_15_1	P29	Visual Cortex	12	Male
627	BA40	CA1_vis_17	15	CA1_vis_17	BulkSeq_vis_17	CA1	CA1_vis_17	vis	17	BA40_CA1_vis_17_1	P29	Visual Cortex	3	Male
628	BA40	CA1_vis_18	16	CA1_vis_18	BulkSeq_vis_18	CA1	CA1_vis_18	vis	18	BA40_CA1_vis_18_1	P29	Visual Cortex	15	Male
631	BA40	CA1_ent_3	28	CA1_ent_3	BulkSeq_ent_3	CA1	CA1_ent_3	ent	3	BA40_CA1_ent_3_1	P29	Entorhinal cortex	12	Male
633	BA40	CA1_ent_6	31	CA1_ent_6	BulkSeq_ent_6	CA1	CA1_ent_6	ent	6	BA40_CA1_ent_6_1	P29	Entorhinal cortex	12	Male
637	BA41	CA1_vis_21	3	CA1_vis_21	BulkSeq_vis_21	CA1	CA1_vis_21	vis	21	BA41_CA1_vis_21_1	P29	Visual Cortex	3	Male
638	BA41	CA1_vis_22	4	CA1_vis_22	BulkSeq_vis_22	CA1	CA1_vis_22	vis	22	BA41_CA1_vis_22_1	P29	Visual Cortex	15	Male
641	BA41	CA1_vis_25	15	CA1_vis_25	BulkSeq_vis_25	CA1	CA1_vis_25	vis	25	BA41_CA1_vis_25_1	P29	Visual Cortex	3	Male
642	BA41	CA1_vis_26	16	CA1_vis_26	BulkSeq_vis_26	CA1	CA1_vis_26	vis	26	BA41_CA1_vis_26_1	P29	Visual Cortex	15	Male
644	BA41	CA1_ent_9	26	CA1_ent_9	BulkSeq_ent_9	CA1	CA1_ent_9	ent	9	BA41_CA1_ent_9_1	P29	Entorhinal cortex	12	Male
647	BA41	CA1_ent_12	29	CA1_ent_12	BulkSeq_ent_12	CA1	CA1_ent_12	ent	12	BA41_CA1_ent_12_1	P29	Entorhinal cortex	12	Male
650	BA41	CA1_ent_15	32	CA1_ent_15	BulkSeq_ent_15	CA1	CA1_ent_15	ent	15	BA41_CA1_ent_15_1	P29	Entorhinal cortex	12	Male
660	BA42	CA1_ent_17	26	CA1_ent_17	BulkSeq_ent_17	CA1	CA1_ent_17	ent	17	BA42_CA1_ent_17_1	P29	Entorhinal cortex	3	Male
661	BA42	CA1_ent_18	27	CA1_ent_18	BulkSeq_ent_18	CA1	CA1_ent_18	ent	18	BA42_CA1_ent_18_1	P29	Entorhinal cortex	15	Male
664	BA42	CA1_ent_21	30	CA1_ent_21	BulkSeq_ent_21	CA1	CA1_ent_21	ent	21	BA42_CA1_ent_21_1	P29	Entorhinal cortex	3	Male
